timestep,success
150,0
300,0
450,0
600,0
750,0
900,0
1050,0
1200,0
1350,0
1500,0
1650,0
1800,0
1950,0
2100,0
2250,0
2400,0
2550,0
2700,0
2850,0
3000,0
3150,0
3300,0
3450,0
3600,0
3750,0
3900,0
4050,0
4200,0
4350,0
4500,0
4650,0
4800,0
4950,0
5100,0
5174,1
5324,0
5474,0
5624,0
5774,0
5924,0
6074,0
6224,0
6374,0
6524,0
6674,0
6824,0
6974,0
7124,0
7274,0
7424,0
7574,0
7724,0
7874,0
8024,0
8174,0
8313,1
8463,0
8613,0
8763,0
8913,0
9063,0
9213,0
9363,0
9513,0
9663,0
9813,0
9963,0
10113,0
10263,0
10413,0
10563,0
10713,0
10863,0
11013,0
11155,0
11305,0
11412,1
11562,0
11712,0
11862,0
12012,0
12162,0
12312,0
12426,1
12576,0
12726,0
12876,0
13026,0
13176,0
13326,0
13476,0
13626,0
13776,0
13926,0
14076,0
14226,0
14376,0
14526,0
14676,0
14826,0
14976,0
15126,0
15276,0
15426,0
15576,0
15726,0
15876,0
16026,0
16176,0
16251,1
16401,0
16551,0
16701,0
16851,0
17001,0
17151,0
17301,0
17451,0
17601,0
17751,0
17901,0
18051,0
18201,0
18351,0
18501,0
18651,0
18801,0
18951,0
19101,0
19251,0
19401,0
19551,0
19612,1
19762,0
19912,0
20062,0
20178,0
20222,1
20372,0
20522,0
20672,0
20782,1
20932,0
21082,0
21232,0
21382,0
21532,0
21682,0
21832,0
21982,0
22132,0
22282,0
22432,0
22582,0
22732,0
22882,0
22964,1
23114,0
23264,0
23414,0
23564,0
23714,0
23864,0
24014,0
24164,0
24314,0
24464,0
24614,0
24764,0
24914,0
25064,0
25214,0
25364,0
25514,0
25574,1
25724,0
25874,0
26024,0
26174,0
26280,1
26430,0
26580,0
26730,0
26880,0
27030,0
27180,0
27330,0
27480,0
27630,0
27780,0
27930,0
28080,0
28230,0
28380,0
28530,0
28680,0
28830,0
28980,0
29130,0
29280,0
29430,0
29580,0
29730,0
29880,0
30030,0
30180,0
30330,0
30480,0
30630,0
30780,0
30930,0
31080,0
31230,0
31380,0
31530,0
31680,0
31830,0
31980,0
32130,0
32271,0
32421,0
32571,0
32721,0
32871,0
33021,0
33171,0
33321,0
33471,0
33621,0
33771,0
33921,0
34071,0
34221,0
34371,0
34521,0
34671,0
34821,0
34971,0
35121,0
35271,0
35370,1
35520,0
35670,0
35820,0
35970,0
36120,0
36270,0
36420,0
36570,0
36720,0
36870,0
37020,0
37170,0
37320,0
37470,0
37620,0
37770,0
37920,0
38070,0
38220,0
38370,0
38520,0
38670,0
38820,0
38970,0
39120,0
39270,0
39420,0
39570,0
39720,0
39870,0
40020,0
40170,0
40320,0
40470,0
40620,0
40770,0
40920,0
41070,0
41220,0
41370,0
41520,0
41670,0
41820,0
41970,0
42120,0
42270,0
42420,0
42552,0
42702,0
42852,0
43002,0
43152,0
43302,0
43452,0
43602,0
43752,0
43902,0
44052,0
44202,0
44352,0
44502,0
44652,0
44802,0
44952,0
45102,0
45252,0
45402,0
45552,0
45702,0
45852,0
46002,0
46152,0
46302,0
46452,0
46602,0
46752,0
46902,0
47052,0
47202,0
47331,0
47481,0
47631,0
47781,0
47931,0
48081,0
48231,0
48381,0
48531,0
48681,0
48831,0
48981,0
49131,0
49281,0
49431,0
49581,0
49731,0
49881,0
50031,0
50181,0
50331,0
50481,0
50631,0
50781,0
50931,0
51081,0
51231,0
51381,0
51531,0
51681,0
51831,0
51981,0
52131,0
52281,0
52431,0
52581,0
52731,0
52881,0
53031,0
53181,0
53331,0
53481,0
53631,0
53781,0
53931,0
54081,0
54231,0
54381,0
54531,0
54681,0
54831,0
54981,0
55131,0
55281,0
55431,0
55581,0
55731,0
55881,0
56031,0
56181,0
56331,0
56481,0
56631,0
56781,0
56931,0
57081,0
57231,0
57381,0
57531,0
57681,0
57831,0
57981,0
58131,0
58281,0
58431,0
58581,0
58731,0
58881,0
59031,0
59181,0
59316,0
59466,0
59616,0
59766,0
59916,0
60066,0
60216,0
60366,0
60516,0
60666,0
60816,0
60966,0
61030,1
61180,0
61330,0
61480,0
61630,0
61780,0
61930,0
62080,0
62230,0
62380,0
62530,0
62680,0
62830,0
62980,0
63130,0
63280,0
63430,0
63580,0
63730,0
63880,0
64030,0
64180,0
64330,0
64480,0
64630,0
64780,0
64930,0
65080,0
65230,0
65380,0
65530,0
65680,0
65830,0
65980,0
66130,0
66278,1
66428,0
66578,0
66728,0
66878,0
67028,0
67178,0
67328,0
67478,0
67628,0
67778,0
67928,0
68078,0
68228,0
68378,0
68528,0
68678,0
68828,0
68978,0
69128,0
69278,0
69428,0
69521,1
69671,0
69821,0
69971,0
70121,0
70271,0
70421,0
70571,0
70721,0
70871,0
71003,1
71153,0
71303,0
71453,0
71603,0
71753,0
71903,0
72053,0
72203,0
72353,0
72503,0
72653,0
72803,0
72953,0
73103,0
73253,0
73403,0
73553,0
73703,0
73853,0
74003,0
74153,0
74303,0
74453,0
74588,1
74738,0
74888,0
75038,0
75188,0
75338,0
75488,0
75538,1
75688,0
75838,0
75988,0
76138,0
76288,0
76438,0
76588,0
76738,0
76888,0
76972,1
77122,0
77272,0
77422,0
77572,0
77722,0
77872,0
78022,0
78172,0
78322,0
78394,1
78489,1
78639,0
78789,0
78939,0
79089,0
79239,0
79389,0
79539,0
79689,0
79839,0
79989,0
80139,0
80289,0
80439,0
80589,0
80739,0
80889,0
81039,0
81189,0
81339,0
81489,0
81639,0
81789,0
81939,0
82089,0
82231,0
82381,0
82531,0
82681,0
82831,0
82979,0
83129,0
83279,0
83429,0
83579,0
83729,0
83879,0
84029,0
84179,0
84269,1
84419,0
84569,0
84719,0
84869,0
85019,0
85169,0
85319,0
85469,0
85619,0
85769,0
85919,0
86069,0
86219,0
86369,0
86519,0
86669,0
86819,0
86969,0
87119,0
87269,0
87419,0
87569,0
87719,0
87869,0
88019,0
88169,0
88319,0
88469,0
88619,0
88769,0
88919,0
89069,0
89219,0
89369,0
89519,0
89669,0
89819,0
89969,0
90119,0
90269,0
90419,0
90569,0
90719,0
90869,0
91019,0
91115,1
91265,0
91415,0
91565,0
91715,0
91865,0
92015,0
92165,0
92315,0
92465,0
92615,0
92765,0
92915,0
93065,0
93215,0
93365,0
93515,0
93665,0
93815,0
93965,0
94115,0
94265,0
94415,0
94565,0
94715,0
94865,0
94930,1
95080,0
95230,0
95380,0
95530,0
95680,0
95830,0
95980,0
96130,0
96280,0
96430,0
96580,0
96730,0
96880,0
97030,0
97180,0
97330,0
97480,0
97630,0
97780,0
97930,0
98080,0
98230,0
98380,0
98530,0
98680,0
98830,0
98980,0
99130,0
99280,0
99430,0
99580,0
99730,0
99880,0
100030,0
100180,0
100330,0
100480,0
100630,0
100780,0
100930,0
101080,0
101230,0
101380,0
101530,0
101680,0
101830,0
101980,0
102130,0
102280,0
102430,0
102580,0
102730,0
102880,0
103030,0
103180,0
103330,0
103480,0
103630,0
103780,0
103930,0
104080,0
104230,0
104380,0
104530,0
104680,0
104801,0
104951,0
105028,1
105178,0
105328,0
105478,0
105628,0
105778,0
105928,0
106078,0
106228,0
106378,0
106528,0
106678,0
106828,0
106978,0
107088,1
107238,0
107388,0
107538,0
107688,0
107838,0
107988,0
108138,0
108288,0
108438,0
108588,0
108738,0
108888,0
109038,0
109188,0
109338,0
109488,0
109638,0
109788,0
109938,0
110088,0
110238,0
110388,0
110538,0
110688,0
110838,0
110988,0
111138,0
111288,0
111438,0
111519,1
111669,0
111819,0
111969,0
112119,0
112269,0
112419,0
112569,0
112719,0
112869,0
113019,0
113169,0
113319,0
113469,0
113619,0
113681,1
113831,0
113981,0
114131,0
114281,0
114431,0
114506,1
114656,0
114806,0
114956,0
115106,0
115256,0
115406,0
115556,0
115706,0
115856,0
116006,0
116156,0
116306,0
116456,0
116606,0
116756,0
116906,0
117056,0
117206,0
117356,0
117487,0
117637,0
117787,0
117937,0
118087,0
118237,0
118387,0
118537,0
118687,0
118837,0
118987,0
119137,0
119287,0
119437,0
119587,0
119737,0
119887,0
120037,0
120187,0
120337,0
120487,0
120637,0
120787,0
120937,0
121087,0
121185,1
121335,0
121485,0
121635,0
121785,0
121935,0
122085,0
122235,0
122385,0
122535,0
122685,0
122835,0
122985,0
123135,0
123285,0
123435,0
123585,0
123735,0
123885,0
124035,0
124185,0
124335,0
124485,0
124635,0
124785,0
124935,0
125085,0
125235,0
125385,0
125535,0
125685,0
125835,0
125985,0
126135,0
126285,0
126364,1
126514,0
126664,0
126814,0
126964,0
127114,0
127264,0
127414,0
127564,0
127714,0
127864,0
128014,0
128164,0
128314,0
128464,0
128614,0
128718,1
128868,0
129018,0
129168,0
129318,0
129468,0
129618,0
129768,0
129918,0
130068,0
130218,0
130368,0
130518,0
130668,0
130818,0
130968,0
131118,0
131268,0
131418,0
131568,0
131718,0
131868,0
132018,0
132168,0
132318,0
132468,0
132618,0
132768,0
132918,0
132983,1
133133,0
133283,0
133379,1
133529,0
133679,0
133829,0
133979,0
134129,0
134279,0
134429,0
134576,1
134726,0
134876,0
135026,0
135176,0
135326,0
135474,0
135624,0
135774,0
135877,1
136027,0
136177,0
136327,0
136477,0
136552,1
136702,0
136852,0
137002,0
137152,0
137302,0
137452,0
137602,0
137752,0
137817,1
137967,0
138117,0
138267,0
138417,0
138567,0
138717,0
138867,0
139017,0
139167,0
139317,0
139467,0
139617,0
139767,0
139917,0
140067,0
140157,1
140307,0
140457,0
140607,0
140757,0
140907,0
141057,0
141207,0
141357,0
141507,0
141657,0
141807,0
141957,0
142107,0
142257,0
142407,0
142557,0
142707,0
142857,0
143007,0
143157,0
143307,0
143457,0
143607,0
143757,0
143907,0
144057,0
144207,0
144357,0
144507,0
144657,0
144807,0
144957,0
145107,0
145257,0
145407,0
145557,0
145707,0
145829,1
145979,0
146129,0
146279,0
146429,0
146579,0
146729,0
146879,0
147029,0
147179,0
147329,0
147479,0
147629,0
147779,0
147929,0
148079,0
148229,0
148379,0
148529,0
148679,0
148829,0
148979,0
149129,0
149279,0
149429,0
149579,0
149729,0
149879,0
150029,0
150179,0
150329,0
150479,0
150629,0
150779,0
150929,0
151079,0
151178,1
151328,0
151478,0
151628,0
151747,1
151897,0
152047,0
152197,0
152347,0
152497,0
152647,0
152797,0
152947,0
153097,0
153247,0
153397,0
153547,0
153697,0
153847,0
153997,0
154147,0
154297,0
154447,0
154597,0
154747,0
154880,1
155007,1
155157,0
155307,0
155457,0
155607,0
155757,0
155907,0
156057,0
156207,0
156357,0
156507,0
156657,0
156807,0
156957,0
157107,0
157257,0
157407,0
157557,0
157707,0
157762,1
157912,0
158062,0
158212,0
158362,0
158512,0
158662,0
158812,0
158962,0
159112,0
159262,0
159412,0
159562,0
159712,0
159862,0
159992,0
160142,0
160292,0
160442,0
160592,0
160742,0
160892,0
161042,0
161192,0
161342,0
161492,0
161642,0
161792,0
161942,0
162092,0
162242,0
162392,0
162542,0
162692,0
162842,0
162992,0
163142,0
163292,0
163442,0
163592,0
163742,0
163892,0
164042,0
164192,0
164342,0
164492,0
164642,0
164792,0
164942,0
165092,0
165242,0
165392,0
165542,0
165692,0
165810,1
165960,0
166110,0
166260,0
166410,0
166529,1
166679,0
166829,0
166979,0
167129,0
167279,0
167429,0
167579,0
167729,0
167879,0
168029,0
168179,0
168329,0
168479,0
168568,1
168718,0
168868,0
169018,0
169168,0
169318,0
169468,0
169618,0
169768,0
169918,0
170068,0
170218,0
170368,0
170518,0
170668,0
170818,0
170968,0
171118,0
171268,0
171418,0
171568,0
171718,0
171868,0
172018,0
172168,0
172318,0
172468,0
172618,0
172768,0
172918,0
173068,0
173218,0
173368,0
173518,0
173668,0
173818,0
173968,0
174118,0
174268,0
174418,0
174568,0
174718,0
174868,0
175018,0
175168,0
175318,0
175468,0
175618,0
175768,0
175918,0
176068,0
176165,1
176315,0
176465,0
176615,0
176765,0
176915,0
177006,1
177156,0
177306,0
177456,0
177606,0
177756,0
177906,0
178056,0
178206,0
178287,1
178437,0
178580,1
178722,1
178872,0
179022,0
179172,0
179322,0
179472,0
179622,0
179772,0
179922,0
180072,0
180120,1
180270,0
180420,0
180570,0
180713,1
180863,0
181013,0
181163,0
181313,0
181463,0
181613,0
181763,0
181913,0
182063,0
182213,0
182363,0
182513,0
182663,0
182813,0
182963,0
183113,0
183263,0
183413,0
183563,0
183685,1
183835,0
183955,1
184105,0
184255,0
184405,0
184555,0
184669,1
184819,0
184969,0
185119,0
185269,0
185419,0
185569,0
185719,0
185869,0
186019,0
186169,0
186319,0
186469,0
186619,0
186711,1
186861,0
187011,0
187161,0
187311,0
187461,0
187611,0
187761,0
187839,1
187989,0
188127,1
188277,0
188427,0
188577,0
188727,0
188877,0
189027,0
189177,0
189327,0
189477,0
189627,0
189777,0
189927,0
190077,0
190227,0
190377,0
190527,0
190677,0
190827,0
190977,0
191127,0
191277,0
191427,0
191577,0
191727,0
191877,0
192027,0
192177,0
192327,0
192477,0
192627,0
192777,0
192927,0
193067,1
193217,0
193357,1
193507,0
193657,0
193807,0
193957,0
194107,0
194257,0
194407,0
194557,0
194707,0
194857,0
195005,1
195155,0
195305,0
195455,0
195582,1
195732,0
195882,0
196032,0
196182,0
196332,0
196482,0
196632,0
196693,1
196843,0
196968,0
197118,0
197268,0
197418,0
197568,0
197718,0
197868,0
198018,0
198168,0
198251,1
198401,0
198551,0
198701,0
198851,0
199001,0
199151,0
199301,0
199451,0
199601,0
199751,0
199901,0
200051,0
200201,0
200351,0
200501,0
200651,0
